Curso;Part.Prdo;NRC;Nivel;Grupo;Cupo Actual;Cupo Min.;Cupo Mat.;Cupo Dispo.;Cred.Cobr.;Tipo Horario;Met.Educativo;Días;Horas;Edificios;Aula;Profesor
CAD402 INTRODUCCIÓN A LA CALIDAD;1;50360;2;81;20;25;20;0;2;CTP;PRE;S;0700-1120;S101RB;;VICTOR CORRALES GONZALEZ
CAD403 FISIOLOGÍA Y MANEJO POSCOSECHA;1;50362;2;81;20;25;20;0;3;CTP;PRE;V;0700-1110;S101RB;;SILVIA BERROCAL MONTERO
CAD404 INGENIERÍA DE ALIMENTOS;1;50425;2;81;21;25;21;0;3;CTP;PRE;I;0800-1120;S101RB;A007;HENRY DELGADO ANGULO
CAD404 INGENIERÍA DE ALIMENTOS;1;50425;2;81;21;25;21;0;3;CTP;PRE;M;1700-1750;S101RB;;HENRY DELGADO ANGULO
CAD405 ESTADÍSTICA APLICADA A LA CALI;1;50426;2;81;20;25;12;8;3;CTE;PRE;J;1700-1930;S101RB;A006;JOSE FONSECA ARCE
CAD406 SISTEMAS DE PRODUCCIÓN PECUARI;1;50356;2;81;20;25;19;1;3;CTP;PRE;M;0700-1110;S101RB;A001;CARLOS TOBIA RIVERO
CAD412 GESTIÓN Y ASEC CALIDAD AGROALI;1;50440;3;82;20;20;17;3;3;CTE;PRE;L;1500-1730;S101RB;L003;HANNIA UGALDE ROJAS
CAD413 DIAG. FITO, ZOOSANI Y RIES MIC;1;50442;3;82;20;20;18;2;3;CTP;PRE;J;1700-2110;S101RB;A007;SUSANA MATA GUERRERO
CAD414 SIST. NORMALIZ, ACRED Y CERTIF;1;50443;3;82;20;20;17;3;3;CTP;PRE;M;0900-1130;S101RB;A007;MARIA CUBERO MADRIZ
CAD414 SIST. NORMALIZ, ACRED Y CERTIF;1;50443;3;82;20;20;17;3;3;CTP;PRE;M;1300-1440;S101RB;A007;MARIA CUBERO MADRIZ
CAD415 CIENCIA COGNI Y SENSO ALIMENTO;1;50445;3;82;20;20;18;2;3;CTP;PRE;I;0900-1130;S101RB;;HANNIA UGALDE ROJAS
CAD415 CIENCIA COGNI Y SENSO ALIMENTO;1;50445;3;82;20;20;18;2;3;CTP;PRE;I;1300-1440;S101RB;;HANNIA UGALDE ROJAS
CAD416 DIS Y MET DE LA INVEST CIENTIF;1;50446;4;82;15;20;14;1;3;CTE;PRE;V;0800-1030;S101RB;;MIGUEL CALDERON QUESADA
CAD422 SEM RENDI E INNOV AGROALIMENTA;1;50455;4;84;15;20;12;3;3;CTP;PRE;L;0800-1120;S101RB;;HANNIA UGALDE ROJAS
CAD422 SEM RENDI E INNOV AGROALIMENTA;1;50455;4;84;15;20;12;3;3;CTP;PRE;L;1300-1440;S101RB;;HANNIA UGALDE ROJAS
CAD423 PROD AGROALIM Y CULT CONSUMO;1;50456;4;84;22;20;20;2;3;CTE;PRE;L;1500-1730;S101RB;;HENRY DELGADO ANGULO
CAD424 PRÁCTICA PROFESIONAL SUPERVISA;1;50458;4;84;11;null;12;-1;3;CTP;PRE;M;1300-1620;S101RB;A002;HENRY DELGADO ANGULO
CAD434O SEG INDUSTRIAL Y SALUD OCUPACI;1;50429;0;82;30;30;28;2;3;CTP;PRE;L;1800-2120;S101RB;L003;JONNATHAN SEQUEIRA URENA
CAD439O GEST AMB Y CAMBIO CLIMÁTICO;1;50459;0;84;15;30;16;-1;3;CTP;PRE;M;0800-1030;S101RB;A004;MIGUEL CALDERON QUESADA
