Curso;Part. Prdo;NRC;Nivel;Grupo;Cupo Actual;Cupo Min.;Cupo Mat.;Cupo Dispo.;Cred. Cobr.;Tipo Horario;Met. Educativo;Días;Horas;Edificios;Aula;Profesor
EGA109 FILOSOFÍA DE LA MÚSICA POPULAR;1;52473;1;80;35;30;33;2;3;CTE;PRE;J;0900-1130;S101RB;C005;LAURA MESÉN MÉNDEZ
EGA114 INTRODUCCION AL INVESTIGACION;1;50661;1;80;40;30;41;-1;3;CTP;PRE;M;0700-0930;S101RB;;TIRSO MOLLINEDO ULLOA
EGA114 INTRODUCCION AL INVESTIGACION;1;50654;1;86;35;30;31;4;3;CTP;PRE;M;0800-1030;S101RB;C002;TIRSO MOLLINEDO ULLOA
EGA118 LA MÚSICA EN EL CINE;1;50907;1;83;35;30;28;7;3;CTP;PRE;J;0700-0930;S101RB;L003;TIRSO MOLLINEDO ULLOA
EGA118 LA MÚSICA EN EL CINE;1;52461;1;80;30;30;40;-10;3;CTP;PRE;M;1300-1530;S101RB;;KARLYN SALAZAR ARIAS
EGS101 CULTURA Y GLOBALIZACIÓN;1;52464;1;82;33;30;37;-4;3;CTE;PRE;M;0900-1130;S101RB;L003;KARLYN SALAZAR ARIAS
EGS101 CULTURA Y GLOBALIZACIÓN;1;50003;1;81;40;30;39;4;3;CTE;PRE;M;1600-1830;S101RB;;DANIELA VÁSQUEZ PINO
EGS107 CULTURA Y ADULTO MAYOR-RET NOV;1;50004;1;82;40;30;40;0;3;CTP;PRE;J;1300-1530;S101RB;;NOELIA ALFARO VARGAS
EGS112 PERS. HUMANIS CAMBIO CLIMA GLO;1;50002;1;81;40;30;35;5;3;CTP;PRE;M;1300-1530;S101RB;;MIGUEL CALDERON QUESADA
EGS126 SOCIEDAD Y PAISAJE RURAL;1;50001;1;80;35;30;35;3;3;CTE;PRE;J;1300-1530;S101RB;A001;ESTEBAN MONTERO SÁNCHEZ
EGS126 SOCIEDAD Y PAISAJE RURAL;1;50006;1;83;40;30;39;1;3;CTE;PRE;J;1300-1530;S101RB;;ALAN ZUÑIGA MUÑOZ
